DB_ID,SAMPLE_ENA_AC
CAR000493,ERS8751730
CAR003348,ERS8751738
CAR007199,ERS8751743
CAR007201,ERS8751749
CAR007374,ERS8751756
CAR007612,ERS8751763
CAR010045,ERS8751769
CLA000487,ERS8751776
CLA000498,ERS8751783
CLA000503,ERS8751791
CLA000506,ERS8751795
CLA000545,ERS8751799
CLA000566,ERS8751806
CLA003043,ERS8751811
CLA003044,ERS8751818
CLA003046,ERS8751827
CLA007175,ERS8751835
CLA007187,ERS8751840
CLA007193,ERS8751844
CLA007222,ERS8751852
CLA008771,ERS8751856
CLA010110,ERS8751863
CLA010117,ERS8751870
CLA010120,ERS8751876
CLA010124,ERS8751882
CLA010132,ERS8751889
CLA010150,ERS8751896
FAM005627,ERS8751902
PHA000447,ERS8751908
PHA000451,ERS8751915
PHA000453,ERS8751920
PHA000470,ERS8751927
PHA000540,ERS8751937
PHA000552,ERS8751946
PHA000767,ERS8751952
PHA000781,ERS8751957
PHA001461,ERS8751960
PHA002728,ERS8751966
PHA003225,ERS8751973
PHA003227,ERS8751979
PHA003341,ERS8751987
PHA003342,ERS8751991
PHA003345,ERS8752002
PHA003350,ERS8752007
PHA004642,ERS8752015
PHA004756,ERS8752022
PHA004757,ERS8752028
PHA004762,ERS8752035
PHA004764,ERS8752041
PHA005438,ERS8752048
PHA005579,ERS8752054
PHA005583,ERS8752064
PHA005585,ERS8752075
PHA005879,ERS8752085
PHA006313,ERS8752091
PHA007171,ERS8752097
PHA007176,ERS8752103
PHA007194,ERS8752108
PHA007211,ERS8752114
PHA007216,ERS8752119
PHA007223,ERS8752125
PHA007237,ERS8752131
PHA007245,ERS8752137
PHA007247,ERS8752140
PHA007377,ERS8752149
PHA007378,ERS8752156
PHA007382,ERS8752167
PHA007385,ERS8752175
PHA007604,ERS8752183
PHA007607,ERS8752188
PHA007610,ERS8752195
PHA007614,ERS8752202
PHA007921,ERS8752208
PHA009300,ERS8752215
PHA009498,ERS8752222
PHA009500,ERS8752228
PHA009504,ERS8752234
PHA009507,ERS8752241
PHA010070,ERS8752247
PHA010691,ERS8752253
PHP010511,ERS8752260
PHT010327,ERS8752263
