"Project name","Tromso herbarium code","BOLD code","Species","Family","NCBI TaxonID","NCBI corrected TaxonID","NCBI TaxonID note","Collection date","Collection month","Sample collector","Country","Sampling location","Sampling latitude","Sampling longitude","Sample age when extracted","Weight of extracted material","Extraction concentration (ng/uL)","library","read_count","Chloroplast length","Chloroplast contigs","Chloroplast coverage","nrDNA length","nrDNA contigs","nrDNA coverage"
"batch01","TROM_V_201835","TROM_V_201835_sg","Betula nana subsp. exilis","Betulaceae",717482,717482,,19/07/1972,"July","Eie, Sigrid","United States","United States, Alaska, Alaska Range: McKinley Park, Cathedral Mt.",62.4189,-152.622,45,0.0305,4.36,"CDM:AKE",8975714,135160,8,71.2,"NA","NA","NA"
"batch01","TROM_V_135084","TROM_V_135084_sg","Potentilla hyparctica","Rosaceae",395303,395303,,09/07/2002,"July","Elvebakk, Arve: Nilsen, Lennart","Norway","Norway, Svalbard, Ny-Friesland, Wijdefjorden, E side. N side of Flatoyrdalen, 3-4 km from the sea.",79.2856,16.1127,15,0.0383,68.2,"BXA:CJI",10894052,156149,1,66.3,7536,1,35.4
"batch01","TROM_V_46577","TROM_V_46577_sg","Anthoxanthum aristatum","Poaceae",388693,388693,,22/06/1972,"June","Harald Knutz,","Denmark","Denmark, Sonderjylland: Genner hule, ca 4 km nord for Aabenraa (Distr. 48)",55.111,9.44,46,0.0431,39.1,"CDM:AUX",6326720,113012,5,19.3,8291,1,173.7
"batch01","TROM_V_48676","TROM_V_48676_sg","Arum orientale","Araceae",491976,491976,,22/05/1973,"May","Harald Knutz,","Denmark","Denmark, Sonderjylland: Ved `Knapstien`, Aabenraa (distr. 48)",55.057,9.458,45,0.0457,28.6,"CDM:AVM",8453790,161984,1,272,8939,1,51.3
"batch01","TROM_V_13430","TROM_V_13430_sg","Atriplex laciniata","Chenopodiaceae",325519,325519,,20/08/1980,"August","Reidar Elven,","Norway","Norway, Vest-Agder, Farsund, Lista: Nordhasselstranda,",58.09,6.62,38,0.0359,5.02,"CDM:AHP",13550318,152004,1,86.9,"NA","NA","NA"
"batch01","TROM_V_145699","TROM_V_145699_sg","Avena fatua","Poaceae",4499,4499,,17/09/1951,"September","Einar Fondal,","Norway","Norway, Sor-Trondelag, Skaun, Buvik : Buvik Molle.Midtre omrade.",63.311,10.16,67,0.0286,4.54,"CDM:APO",7822582,213774,1,30.1,8006,1,276.2
"batch01","TROM_V_48865","TROM_V_48865_sg","Briza maxima","Poaceae",29665,29665,,11/08/1960,"August","John Cristofferson,","Sweden","Sweden, Smaland, Smaland: Ljunga socken.",56.74,13.96,58,0.0181,7.66,"CDM:AOX",8491122,214234,1,38.6,7855,1,236.3
"batch01","TROM_V_49036","TROM_V_49036_sg","Bromus racemosus","Poaceae",55767,55767,,16/06/1970,"June","Stig Jeppesen, Lauritz Holm-Nielsen,","Denmark","Denmark, Danmark: Voervadsbro S of Rye.",56.01,9.71,48,0.0369,30.8,"CDM:AUL",11476860,215210,1,26.6,8326,1,321.9
"batch01","TROM_V_143485","TROM_V_143485_sg","Buglossoides arvensis","Boraginaceae",181181,181181,,25/05/1971,"May","Vilhelm Dalgaard, Niels Jacobsen, Kaj Vollesen","Denmark","Denmark, Zealand: Estershoj, Hove. Edge of road: associated",55.55,10.67,47,0.016,15.4,"CDM:AKX",10013100,150877,1,92.6,"NA","NA","NA"
"batch01","TROM_V_49087","TROM_V_49087_sg","Butomus umbellatus","Butomaceae",50236,50236,,10/07/1971,"July","Peder Pedersen, Stig Jeppesen,","Denmark","Denmark, Danmark: Lake Mosso, at Vorladegard, ca. 10 km W of Skanderborg.",56.03,9.74,47,0.0606,44.6,"CDM:AUJ",13267428,126102,7,48.9,7173,1,402.6
"batch01","TROM_V_49157","TROM_V_49157_sg","Calamagrostis arundinacea","Poaceae",389630,389630,,10/07/1970,"July","Inger Bolt Jorgensen, Carsten Gottlieb Hansen, Jette Svendsen","Denmark","Denmark, Danmark: Jylland: Orekjaer, Silkeborg Sonderskov.",56.12,9.6,48,0.02868,17.9,"CDM:AUI",7131232,"NA","NA","NA",6434,1,187.3
"batch01","TROM_V_145900","TROM_V_145900_sg","Calamagrostis canescens","Poaceae",1155255,1155255,,27/07/1999,"July","Reino Fagersten, K. Nisula, P. Renvall","Finland","Finland, Pohjois-Savo, [Savonia borealis] Sb, Kuopio: Kuhastenlahti, on shallow lake shore.",62.76,27.71,19,0.0268,31.1,"CDM:AUH",10137806,"NA","NA","NA",6637,1,212.3
"batch01","TROM_V_51015","TROM_V_51015_sg","Calamagrostis varia","Poaceae",1000416,1000416,,26/07/1983,"July","Karl-Dag Vorren,","Sweden","Sweden, Gotland, Gotland: Gothem, Aminne. Roadside",57.61,18.75,35,0.0217,29.6,"CDM:ATJ",10560096,136794,1,53.1,7684,1,79.3
"batch01","TROM_V_170856","TROM_V_170856_sg","Calystegia soldanella","Convolvulaceae",136204,136204,,02/08/1972,"August","Eva Kullberg, Benjamin Ollgaard, Stig Jeppesen","Denmark","Denmark, In outer dunes along the coast at Svinklov N of fjerritslev",57.153,9.32,46,0.025,13.6,"CDM:AOK",11987934,152321,1,356.3,8243,1,844
"batch01","TROM_V_114495","TROM_V_114495_sg","Cardamine impatiens","Brassicaceae",82286,82286,,04/06/1971,"June","Harald Knutz,","Denmark","Denmark, Rise enge vest for Aabenraa. (distr. 48)",55.05,9.39,47,0.0242,1.03,"CDM:AID",6158332,145993,34,27.5,"NA","NA","NA"
"batch01","TROM_V_56285","TROM_V_56285_sg","Carex atherodes","Cyperaceae",912382,912382,,18/07/1969,"July","Kalevi Alho, Unto Laine,","Finland","Finland, Kainuu, Finland: Ostrobottnia kajanensis (OK), Paltamo, Mieslahti.",64.39,27.9,49,0.0311,16.7,"CDM:AVP",7834018,"NA","NA","NA",6825,1,515.4
"batch01","TROM_V_89680","TROM_V_89680_sg","Carex bigelowii subsp. lugens","Cyperaceae",395287,395287,,16/07/1998,"July","Dietbert Thannheiser,","Canada","Canada, Nunavut: Victoria Island , Richardson Island, Johansen Bay.",68.57,-110.72,20,0.0411,25.3,"CDM:ASI",24695222,"NA","NA","NA",8468,1,450.2
"batch01","TROM_V_8381","TROM_V_8381_sg","Carex disticha","Cyperaceae",240695,240695,,26/06/1904,"June","R. E. Fridtz,","Norway","Norway, Buskerud, Hole, N. Sonerud",60.12,10.28,114,0.0552,1.44,"CDM:APL",11124454,"NA","NA","NA",6569,1,109.9
