"Project_name","Tromso_herbarium_code","BOLD_code","Species","Family","NCBI_TaxonID","NCBI_corrected_TaxonID","NCBI_TaxonID_note","Collection_date","Collection_month","Sample_collector","Sampling_location","Sampling_latitude","Sampling_longitude","Sample_age_when_extracted","Weight_of_extracted_material","Extraction_concentration_(ng/uL)","library","read_count","Chloroplast_length","Chloroplast_contigs","Chloroplast_coverage","nrDNA_length","nrDNA_contigs","nrDNA_coverage","CORRECTION","CORRECTION_COMMENT"
"batch01","TROM_V_42667","PNOR1285-18","Asplenium scolopendrium","Aspleniaceae",41964,41964,,1874-09-13,"September","Wulfsberg, N.","Norway, Varaldsoen",60.1179,5.9947,144,0.0289,1.8,"CDM:APS",13114986,"NA","NA","NA",8520,1,31.9,0,
"batch01","TROM_V_8381","PNOR1332-18","Carex disticha","Cyperaceae",240695,240695,,1904-06-26,"June","Fridtz, R. E. ","Norway, Buskerud, Hole, N. Sonerud",60.12,10.28,114,0.0552,1.44,"CDM:APL",11124454,"NA","NA","NA",6569,1,109.9,0,
"batch01","TROM_V_148646","PNOR539-16","Euphorbia cyparissias","Euphorbiaceae",38844,38844,,1905-06-24,"June","Rydningen, Kjell Johnny","Norway, Finnmark, Hammerfest, Kvaloya: Stromsneskrysset, Akkarfjord.",70.6132,23.6487,110,0.0215,80.8,"BXA:AKT",12358160,133685,10,134.5,9933,1,1528.2,0,
"batch01","TROM_V_135802","PNOR1464-18","Erysimum inconspicuum","Brassicaceae",910636,910636,,1906-06-20,"June","Haussen, Goffret","United States, Alaska, Arct. America. King Point.",61.1333,-149.917,112,0.0549,14.9,"CDM:ALK",11152870,154633,1,401.2,"NA","NA","NA",0,
"batch01","TROM_V_135882","PNOR1457-18","Erigeron muirii","Asteraceae",2042664,2042664,,1906-07-14,"July","Lindstrom, A.H.","Canada, Yukon Territory, Arct. America, Herschell Island.",69.5667,-139.0667,112,0.0483,24,"CDM:ADK",8125276,128847,5,50,"NA","NA","NA",0,
"batch01","TROM_V_20129","PNOR1708-18","Erigeron elongatus","Asteraceae",1591266,1591266,,1922-07-12,"July","Benum, Peter","Norway, Vefsn, Nordland, Halsoyhaugen.",65.8647,13.2026,96,0.0193,1.7,"CDM:AJT",9929650,152457,1,403.9,9502,1,86.7,0,
"batch01","TROM_V_109900","PNOR1492-18","Hordeum comosum","Poaceae",112517,112517,,1925-06-19,"June","Blom, Carl","Sweden, Skane, Lackalaenga.",55.78,13.11,93,0.0235,7.2,"CDM:AEE",9288516,111566,10,19.6,"NA","NA","NA",0,
"batch01","TROM_V_48897","PNOR1304-18","Bromus arvensis","Poaceae",55764,55764,,1926-07-09,"July","Benum, Peter","Norway, Vefsn: Halsoy, Nesbruket.",65.8647,13.2026,92,0.0223,15.4,"CDM:AUN",7516886,116555,10,25.7,7711,1,111.6,0,
"batch01","TROM_V_108162","PNOR1437-18","Echinochloa crus-galli","Poaceae",90397,90397,,1930-08-01,"August","Benum, Peter","Norway, Nord-Trondelag",63.7461,11.2977,88,0.0198,1.12,"CDM:API",10508412,139854,1,94.2,8218,1,483.1,0,
"batch01","TROM_V_135703","PNOR1168-17","Agrostis exarata","Poaceae",345915,345915,,1931-08-25,"August","Norberg, Ingv. L.","United States, Alaska, Aleutian Islands, Akutan whaling station.",54.1333,-165.7667,86,0.0297,20.8,"BXA:CCM",15659064,195044,1,30.1,7519,1,76.6,0,
"batch01","TROM_V_135758","PNOR1295-18","Barbarea orthoceras","Brassicaceae",669636,669636,,1932-06-04,"June","Norberg, Ingv. L.","United States, Alaska, SE. Alaska, Chichagof Isl. Hoonah.",58.1,-135.4333,86,0.0301,2.32,"CDM:AJD",9739900,154543,1,358.1,"NA","NA","NA",0,
"batch01","TROM_V_301404","PNOR1518-18","Kalmia polifolia","Ericaceae",45899,45899,,1932-06-17,"June","Norberg, Ingv. L.","United States, Alaska, Alaska, Chichago Isl. Hoonah.",58.11,-135.44,86,0.0409,1.92,"CDM:AJF",10328710,"NA","NA","NA",8055,1,581.3,0,
"batch01","TROM_V_135924","PNOR1597-18","Primula pumila","Primulaceae",669787,669787,,1934-06-10,"June","Norberg, Ingv. L.","United States, Alaska, Alautian Islands, Akutan.",54.1667,-165.9333,84,0.02,3.32,"CDM:AIW",11930940,151003,1,431.5,8309,1,61.9,0,
"batch01","TROM_V_135754","PNOR1314-18","Caltha palustris","Ranunculaceae",3449,3449,,1934-06-17,"June","Norberg, Ingv. L.","United States, Alaska, Aleutian Islands, Akutan.",54.1333,-165.7667,84,0.0228,7.36,"CDM:AEC",13792370,155271,1,96.8,"NA","NA","NA",0,
"batch01","TROM_V_135815","PNOR1519-18","Lagotis glauca","Plantaginaceae",669716,669716,,1934-07-08,"July","Norberg, Ingv. L.","United States, Alaska, Aleutian Islands, Akutan.",54.1667,-165.9333,84,0.0758,2.28,"CDM:AJI",15970136,152713,1,307.8,7744,1,438.2,0,
"batch01","TROM_V_300511","PNOR1277-18","Arnica unalaschcensis","Asteraceae",149412,149412,,1934-07-26,"July","Norberg, Ingv. L.","United States, Alaska, Akutan, Aleutian islands.",54.1667,-165.9333,84,0.0451,7.68,"CDM:ADZ",12240628,152274,1,62.6,"NA","NA","NA",0,
"batch01","TROM_V_88231","PNOR1283-18","Asplenium x adulterinum","Aspleniaceae",468249,468249,,1935-08-09,"August","Bjorlykke, Bj.","Norway, Bjorkedalen.",62.0057,6.0491,83,0.0251,4.71,"CDM:APT",11276590,"NA","NA","NA",7513,1,37.2,0,
"batch01","TROM_V_201866","PNOR1718-18","Triantha occidentalis","Tofieldiaceae",552844,552844,,1936-06-28,"June","Norberg, Ingv. L.","United States, Alaska, Prince William SD: Hinchinbrook J.",60.4143,-146.5772,81,0.0195,3.72,"CDM:AJU",10431568,128524,11,253.9,8201,1,371.3,0,
"batch01","TROM_V_135810","PNOR1573-18","Geum calthifolium","Rosaceae",61283,61283,,1937-06-28,"June","Norberg, Ingv. L.","United States, Alaska, Prince William SD., Hinchinbrook I.",60.4167,-146.5667,81,0.0518,1.07,"CDM:AJG",17149662,131012,13,252.7,7724,1,553.2,0,
"batch01","TROM_V_135781","PNOR1271-18","Arctanthemum arcticum","Asteraceae",99030,99030,,1937-07-08,"July","Norberg, Ingv. L.","United States, Alaska, Prince William Sound, Hinchinbrook Island.",60.4,-146.5667,81,0.0457,9.32,"CDM:AEB",10238210,127365,7,73.8,"NA","NA","NA",0,
