"Project_name","Tromso_herbarium_code","BOLD_code","Species","Family","NCBI_TaxonID","NCBI_corrected_TaxonID","NCBI_TaxonID_note","Collection_date","Collection_month","Sample_collector","Sampling_location","Sampling_latitude","Sampling_longitude","Sample_age_when_extracted","Weight_of_extracted_material","Extraction_concentration_(ng/uL)","library","read_count","Chloroplast_length","Chloroplast_contigs","Chloroplast_coverage","nrDNA_length","nrDNA_contigs","nrDNA_coverage","CORRECTION","CORRECTION_COMMENT"
"batch01","TROM_V_201175","PNOR1166-17","Taraxacum brachyrhynchum","Asteraceae",50225,50225,,1930-08-05,"August","Lid, Johannes","Norway, Jan Mayen, Near Kjollerdalkrateret.",71.05,-8.3833,87,0.022,15.5,"BXA:CJN",6440264,151040,1,71,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_68403","PNOR1421-18","Taraxacum torvum","Asteraceae",49743,49743,,1930-08-18,"August","Lid, Johannes","Norway, Jan Mayen, Kapp Fishburn",70.9971,-8.147,88,0.0434,9.06,"CDM:AGH",9175780,151427,1,123,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_90902","PNOR1403-18","Cochlearia arctica subsp. oblongifolia","Brassicaceae",97854,97854,,1937-07-08,"July","Norberg, Ingv. L.","United States, Alaska, Prince William Sound: Hinchinbrook Island.",60.39,-146.45,81,0.0224,4.2,"CDM:AJN",8192578,129022,8,136,9493,1,550.7,1,"Needs a new taxonid"
"batch01","TROM_V_135705","PNOR1170-17","Deschampsia beringensis","Poaceae",37723,37723,,1937-07-30,"July","Norberg, Ingv. L.","United States, Alaska, Prince William SD., Hinchinbrook I.",60.3833,-146.5,80,0.0181,11.9,"BXA:CJJ",9684552,"NA","NA","NA",6110,1,17.8,1,"Needs a new taxonid"
"batch01","TROM_V_135778","PNOR1406-18","Conioselinum kamtschaticum","Apiaceae",1981214,1981214,,1938-08-08,"August","Norberg, Ingv. L.","United States, Alaska, Prince William Sound, Orca.",60.5667,-145.7167,80,0.018,22.4,"CDM:ALG",8580128,294186,1,29.7,7035,1,587.5,1,"Unrecognized synonym"
"batch01","TROM_V_135944","PNOR1691-18","Sorbus groenlandica","Rosaceae",23222,23222,,1962-07-06,"July","Hansen, Carlo; Petersen, P. Milan","Greenland, Groenlandia meridionalis, Kangerdluarssuk.",61.1,-46.2,55,0.055,8.56,"CDM:ADT",10261496,94684,53,18.1,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_135770","PNOR1395-18","Chamaepericlymenum unalaschkene","Cornaceae",164434,164434,,1962-08-25,"August","Hansen, Carlo; Hansen, Kjeld; Petersen, P. Milan","Greenland, Groenlandia meridionalis, Torssukatak.",60.9333,-46.8,55,0.0273,6.44,"CDM:AKH",12536032,157112,1,192.5,5957,1,583,1,"Unrecognized synonym"
"batch01","TROM_V_135866","PNOR939-17","Elymus trachycaulus subsp. virescens","Poaceae",52709,52709,,1963-07-16,"July","Damsholt, Kell; Holmen, Kjeld","Greenland, Groenlandia meridionalis: Dyrnaes.",60.9333,-46.0667,55,0.032,59.4,"BXA:CER",9870650,53074,23,12.4,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_135855","PNOR1599-18","Puccinellia groenlandica","Poaceae",13648,13648,,1963-09-12,"September","Laegaard, Simon","Greenland, W Greenland, Eqaluit, N of Christianshab.",68.8833,-51.0833,55,0.0341,20.4,"CDM:ALM",8849900,106422,12,18,6505,1,87.4,1,"Needs a new taxonid"
"batch01","TROM_V_135857","PNOR1602-18","Puccinellia phryganodes subsp. neoarctica","Poaceae",669796,669796,,1964-08-07,"August","Hansen, Carlo; Petersen, P. Milan","Greenland, Groenlandia meridionalis, Maukarneq.",60.0167,-44.8,54,0.0282,24,"CDM:ALN",6383204,135877,1,53.5,8066,1,40.7,1,"Needs a new taxonid"
"batch01","TROM_V_300819","PNOR1017-17","Bistorta officinalis subsp. plumosa","Polygonaceae",669639,669639,,1972-07-14,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, Alaska Range, Steese Highway, Pinnell Mountain Trail.",65.4833,-145.7,46,0.0265,26.6,"BXA:CKD",13693250,48165,33,15.2,"NA","NA","NA",1,"Unrecognized synonym"
"batch01","TROM_V_135792","PNOR1024-17","Dryas octopetala subsp. alaskensis","Rosaceae",2071455,2071455,,1972-07-14,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, Central, Steese Highway, Pinnell Mountain Trail. Mile 12.",65.4833,-145.6833,46,0.0373,7.72,"CDM:AFR",8854172,127676,8,61.2,"NA","NA","NA",1,"Unrecognized synonym"
"batch01","TROM_V_300431","PNOR1012-17","Arabis hirsuta subsp. pycnocarpa","Brassicaceae",571367,571367,,1972-07-17,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, Alaska Range, Highway 3, Fairbanks to McKinley Park.",64.75,-148.2333,46,0.0209,39.8,"BXA:CFR",7210072,153483,1,325.7,"NA","NA","NA",1,"Unrecognized synonym"
"batch01","TROM_V_135718","PNOR1018-17","Bromopsis pumpelliana subsp. arctica","Poaceae",15371,15371,,1972-07-19,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, Mt McKinley National Park. Cathedral Mt.",63.0333,-150.9833,45,0.0243,21.6,"BXA:CJM",7705692,"NA","NA","NA",6122,1,18.1,1,"Unrecognized synonym"
"batch01","TROM_V_300658","PNOR1015-17","Astragalus aboriginum","Fabaceae",989179,989179,,1972-07-20,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, McKinley National Park, Cathedral Mountain, locality 5.",63.05,-151,45,0.0242,34.2,"BXA:CKE",6082342,123591,1,268.9,8434,1,418.4,1,"Needs a new taxonid"
"batch01","TROM_V_135940","PNOR1044-17","Silene soczavana var. macrosperma","Caryophyllaceae",675740,675740,,1972-07-20,"July","Eie, Sigrid; Knaben, Gunvor","United States, Alaska, McKinley National Park, Cathedral Mountain, near summit.",63.05,-151,46,0.0209,9,"CDM:AFN",8041832,1198,4,15,"NA","NA","NA",1,"Needs a new taxonid"
"batch01","TROM_V_135836","PNOR1161-17","Papaver hultenii var. salmonicolor","Papaveraceae",1301400,1301400,,1972-08-08,"August","Knaben, Gunvor","United States, Alaska, Arctic, Barrow area, at Nunavak Bay.",71.2333,-156.85,45,0.0362,51,"BXA:CEY",7447146,153668,1,89.1,7621,1,202.3,1,"Needs a new taxonid"
"batch01","TROM_V_89985","PNOR1182-17","Plantago canescens subsp. richardsonii","Plantaginaceae",669779,669779,,1973-07-17,"July","Thannheiser, Dietbert","Canada, Northwest Territories, Northwest Territories: Banks Island, Sachs Harbour.",69.5542,-93.5054,45,0.0168,8.8,"CDM:AFV",7885182,136234,1,208.9,"NA","NA","NA",1,"Needs a new taxonid"
