DB_ID,SAMPLE_ENA_AC,Sample_ID,Project_name,Submission_Batch_Name,Scientific_Name,Taxon_family,NCBI_ID,Herbarium_voucher,Plant_developmental_stage,Sampling_Collector,Sampling_Organisation,Sampling_date,Sampling_location,Sampling_location_x,Sampling_location_y,Extraction_code,Extract_weight_(mg),Extract_concentration,Sequencing_date,Sequencing_organization,Sequencing_ID
CAR000493,ERS8751730,493,PhyloAlps-Carpathians,Orthoskim,Androsace chamaejasme Wulfen,Primulaceae,175028,,living plant material,Jozef Sibik,"Institute of Botany, Bratislava",2016-08-20,"Malá Fatra, Malý Kriváň, Carpathians, Slovakia",19.0016166667,49.1874,S0981,8,21.3,2017-07-04,Genoscope,BGN_MVL
CAR003348,ERS8751738,3348,PhyloAlps-Carpathians,Orthoskim,Erica spiculifolia Salisb.,Ericaceae,49138,,living plant material,Bogdan Hurdu,Institute of Biological Research Cluj-Napoca,2015-06-20,"Cozia Mts., Durducu peak, 1512 m, Carpathians, Romania",24.342956,45.315898,48_A12,18,25.2,2016-06-30,Genoscope,BGN_LPE
CAR007199,ERS8751743,7199,PhyloAlps-Carpathians,Orthoskim,Primula elatior (L.) Hill subsp. intricata (Gren. & Godr.) Widmer,Primulaceae,1050975,,living plant material,Bogdan Hurdu,Institute of Biological Research Cluj-Napoca,2013-06-28,"Piatra Craiului Massif, under Ascuțit peak, 1750 m, Carpathians, Romania",25.226573,45.535243,51_G06,18,11.5,2017-02-16,Genoscope,BGN_MED
CAR007201,ERS8751749,7201,PhyloAlps-Carpathians,Orthoskim,Primula elatior (L.) Hill subsp. leucophylla (Pax) Hesl.-Harr. ex W.W.Sm. & H.R.Fletcher,Primulaceae,1049950,,living plant material,Liviu Filipas,Institute of Biological Research Cluj-Napoca,2011-07-01,"Ceahlău Mts, Toaka peak, 1850 m, Carpathians, Romania",25.949749,46.977013,51_H06,19,14.3,2017-02-16,Genoscope,BGN_MEE
CAR007374,ERS8751756,7374,PhyloAlps-Carpathians,Orthoskim,Pyrola carpatica Holub & Křísa,Ericaceae,1907910,,living plant material,Sibik J,Babeş Bolyai University,2016-08-20,"Malá Fatra, Chleb Peak, Carpathians, Slovakia",19.0515277778,49.1881944444,S1054,16,10.6,2017-07-04,Genoscope,BGN_NCK
CAR007612,ERS8751763,7612,PhyloAlps-Carpathians,Orthoskim,Rhododendron myrtifolium Schott & Kotschy,Ericaceae,1851392,,living plant material,"Pușcaș M., Geremia R., Choler P.","Babeş Bolyai University, Laboratoire d'Ecologie Alpine (LECA UMR 5553)",2007-07-23,"Făgăraș Mts., Vânătoarea lui Buteanu, 2394 m, Carpathians, Romania",24.6281666666667,45.6034333333333,51_F07,21,21.6,2017-02-16,Genoscope,BGN_MEH
CAR010045,ERS8751769,10045,PhyloAlps-Carpathians,Orthoskim,Soldanella hungarica Simonk.,Primulaceae,152121,,living plant material,"Pușcaș M., Geremia R., Choler P.","Babeş Bolyai University, Laboratoire d'Ecologie Alpine (LECA UMR 5553)",2007-07-23,"Romania (RO). Fagaras Mts., Paltinul Peak, 2404 m, Carpathians.",24.6071666666667,45.5983666666667,51_H09,23,21.8,2017-02-16,Genoscope,BGN_MFB
CLA000487,ERS8751776,487,PhyloAlps-clades,Orthoskim,Androsace laggeri A.Huet,Primulaceae,229439,,living plant material,Station Alpine Joseph Fourier (UMS 3370),Station Alpine Joseph Fourier (UMS 3370),2015-07-29,Hautes-Alpes (FR). Villar-dArène. Jardin alpin du Lautaret,NA,NA,S1569,18,,2020-01-07,Genoscope,BGN_QBW
CLA000498,ERS8751783,498,PhyloAlps-clades,Orthoskim,Androsace cylindrica DC. subsp. hirtella (Dufour) Greuter & Burdet,Primulaceae,522400,,living plant material,Cristina Roquet,Laboratoire d'Ecologie Alpine (LECA UMR 5553),2016,"Archerito, 1970 m., cave in a cliff, limestone",-0.7009331,42.8797458,S0834,7,1.26,2018-01-31,Genoscope,BGN_PBH
CLA000503,ERS8751791,503,PhyloAlps-clades,Orthoskim,Androsace delavayi Franch.,Primulaceae,229436,,living plant material,Station Alpine Joseph Fourier (UMS 3370),Station Alpine Joseph Fourier (UMS 3370),2015-07-29,Hautes-Alpes (FR). Villar-d'Arène. Jardin alpin du Lautaret,NA,NA,S0509,19,39.1,2016-06-30,Genoscope,BGN_LRM
CLA000506,ERS8751795,506,PhyloAlps-clades,Orthoskim,Androsace halleri L.,Primulaceae,229439,,living plant material,Petr Koutecký,University of South Bohemia,2016-06-08,Puy Mary,2.67336111,45.11194444,S0820,9,5.06,2017-07-04,Genoscope,BGN_NTD
CLA000545,ERS8751799,545,PhyloAlps-clades,Orthoskim,Androsace rioxana A.Segura,Primulaceae,229455,,living plant material,Provided by G. Schneeweiss,Laboratoire d'Ecologie Alpine (LECA UMR 5553),NA,"Pico San Lorenzo, La Rioja",-2.95,42.2333333,S0756,9,5.33,2017-07-04,Genoscope,BGN_NMF
CLA000566,ERS8751806,566,PhyloAlps-clades,Orthoskim,Androsace villosa L.,Primulaceae,229461,GR004633,living plant material,"Sébastien Lavergne,Jan Smycka, Cristina Roquet",Laboratoire d'Ecologie Alpine (LECA UMR 5553),2016-07-24,Portillón al Castillo de Acher (2200 m),-0.67502778,42.82136111,S0646,18,13.2,2017-02-16,Genoscope,BGN_MLB
CLA003043,ERS8751811,3043,PhyloAlps-clades,Orthoskim,Androsace americana Wendelbo,Primulaceae,229464,ALA[H1098072],herbarium sample,"C.L. Parker, J. Herriges",Museum - University of Alaska Fairbanks,2008-06-19,"Alaska (USA), Little Black River headwaters, W of Snowy Peak, 643m, rocky xeri slope, dolomite and shale",-143.04928333,65.596,S0829,26,5.58,2017-07-04,Genoscope,BGN_NTF
